Restaurant Name,Address,City,Province,Postal Code,Latitude,Longitude
,36 Young St,Alliston,ON,L9R 1B4,44.1485831,-79.8829027
,75 Billy Bishop Way Unit A1,North York,ON,M3K 2C8,43.7332699,-79.4514346
,"140 Hamilton, Regional Rd 8 unit 10A,",Stoney Creek,ON,L8G 1C2,43.2231904,-79.7456587
,"1472 Innisfil Beach Rd,",Innisfil,ON,L9S 4B2,44.3087915,-79.5746543
,109 - 595 Arthur St West,Thunder Bay,ON,P7E 5R5,48.3816115,-89.2940311
,25 Brisdale Dr #3,Brampton,ON,L7A 2G8,43.68429,-79.81294
,"5027 - 44th St, Unit 109G",Lloydminster,AB,T9V 0A6,53.277683,-110.0077668
Clarkson,960 Southdown Rd,Mississauga,ON,L5J 2Y4,43.5093434,-79.6312353
,2277 Sheppard Ave West,North York,ON,M9M 0G6,43.7346883,-79.5326377
Hays Blvd,270 Hays Blvd.,Oakville,ON,L6H 7P3,43.4842973,-79.7174202
,555 Esaa Rd,Barrie,ON,L4N 6V9,44.338832,-79.7106831
,494 Big Bay Point Rd,Barrie,ON,L4N 3Z5,44.3574869,-79.6479636
,225 Fairview Drive,Brantford,ON,N3R 7E3,43.1706468,-80.2623037
,3221 Derry Road West,Mississauga,ON,L5N 7L7,43.5839941,-79.778028
,275 Fourth St,St. Catherines,ON,L2S 0C2,43.1563946,-79.2679549
,900 Maple Ave. Unit F8,Burlington,ON,L7S 2J8,43.325572,-79.8204273
,"547 Cundles Rd E,",Barrie,ON,L4M 0G9,44.4148848,-79.6780334
,2435 Appleby Line,Burlington,ON,L7R 3X4,43.4059263,-79.8063672
,"355 Hespeler Rd,",Cambridge,ON,N1R 6B3,43.3920911,-80.3209162
,"8750 Bayview Ave,",Richmond Hill,ON,L4B 4V9,43.8437567,-79.4083204
,"2161 Wyandotte St W,",Windsor,ON,N9B 1K,42.3056644,-83.0604213
,4850 Dundas St W,Etobicoke,ON,M9A 1B4,43.6507176,-79.5274136
Wyecroft Rr,3513 Wyecroft Rd H007,Oakville,ON,L6L 0B6,43.395563,-79.7490761
,43 Crowfoot Terrace NW Unit 43,Calgary,AB,T3G 4J8,51.1269923,-114.2005235
,76 Arlington Drive Unit 9,Keswick,ON,L4P 4H6,44.2343982,-79.4510176
,"1447 Water St Unit 2&3,",Peterborough,ON,K9H 0C6,44.3511762,-78.3013543
,547 Norwich Ave Unit #3,Woodstock,ON,N4V 1C7,43.1131324,-80.735527
,"275 Shawville Blvd SE Unit 11,",Calgary,AB,T2Y 3Z6,50.9016378,-114.0678845
,"210 King St N,",Waterloo,ON,N2J 2Y7,43.4750026,-80.5242017
,"628 King St N,",Waterloo,ON,N2V 1B4,43.5050237,-80.5357236
,"820 Kingston Rd,",Pickering,ON,L1V 1A9,43.8228646,-79.1114336
,7555 Tecumseh Rd E,Windsor,ON,N8T 1G2,42.3130317,-82.9354429
Aurora,126 Wellington,Aurora,ON,L4G 2N9,43.9986441,-79.4752794
,1500 Elgin Mills Rd E Unit 1,Richmond Hill,ON,L4S 1M5,43.899143,-79.3949773
Kingsway Mall,"1 Kingsway NW #413 Main floor,",Edmonton,AB,T5G 3A6,53.5628833,-113.5061502
,"2620 Rutherford Rd,",Vaughan,ON,L4K 0H1,43.8347994,-79.5211806
,3604 Major MacKenzie Dr W Unit 10,Vaughan,ON,L4H 3T6,43.8464492,-79.5563395
,2460 Brock Rd Unit 4,Pickering,ON,L1X 2R2,43.8702287,-79.0843698
,10009 17th St. NW,Edmonton,AB,T5P 4R5,53.5161819,-113.368995
,1187 Wilson St W Unit 1A,Ancaster,ON,L9G 0E8,43.1979044,-80.0216242
,400 Scott St,St. Catherines,ON,L2N 6T4,43.1874642,-79.2297278
University District,4129 University,Calgary,AB,T3B 6K3,51.0772188,-114.1472096
,"80 Dundas St E Unit 8,",Waterdown,ON,L9H 7K6,43.317241,-79.9108463
,1055 Talbot St,St Thomas,ON,N5P1G5,42.7799652,-81.1734403
,119 Osler Dr,Hamilton,ON,L9H 6X4,43.2571822,-79.9411556
,5934 Victoria Ave,Niagara Falls,ON,L2G 3W4,43.0901802,-79.0789584
,200 Green Ln E,East Gwillimbury,ON,L9N 0A2,44.0744235,-79.4802537
,9833 116 St #106,Grande Prairie,AB,T8W 0C7,55.1681932,-118.8470587
,332 Clarke Rd,London,ON,N6A 3H3,43.0018043,-81.1740812
,1612 Mayor Magrath Dr S,Lethbridge,AB,T1K 2R5,49.6754406,-112.8025638
